date,price
2020-01-01,7088.202617298383
2020-01-02,7108.210477716744
2020-01-03,7157.147376922031
2020-01-04,7269.192036882104
2020-01-05,7362.569936389603
2020-01-06,7313.706042395782
2020-01-07,7361.210463272061
2020-01-08,7353.642602857177
2020-01-09,7348.481660267499
2020-01-10,7369.011585364417
2020-01-11,7376.213763922461
2020-01-12,7448.92743927061
2020-01-13,7486.97932552796
2020-01-14,7493.0630763526015
2020-01-15,7515.256237989873
2020-01-16,7531.939954358586
2020-01-17,7606.643908016466
2020-01-18,7596.385994828176
2020-01-19,7612.039379910721
2020-01-20,7569.3345929456345
2020-01-21,7441.6851021539305
2020-01-22,7474.366031925949
2020-01-23,7517.587841868924
2020-01-24,7480.479590848602
2020-01-25,7593.967322047983
2020-01-26,7521.249038318045
2020-01-27,7523.536964183117
2020-01-28,7514.177771681825
2020-01-29,7590.816732399748
2020-01-30,7664.284670894762
2020-01-31,7672.032042179608
2020-02-01,7690.940168159716
2020-02-02,7646.550880778211
2020-02-03,7547.5110573670145
2020-02-04,7530.115449900707
2020-02-05,7537.932898355906
2020-02-06,7599.447432392292
2020-02-07,7659.566424831512
2020-02-08,7640.2000839611155
2020-02-09,7625.084946432348
2020-02-10,7572.657298178994
2020-02-11,7501.656401320045
2020-02-12,7416.342891788794
2020-02-13,7513.881661550384
2020-02-14,7488.399052462801
2020-02-15,7466.495337382242
2020-02-16,7403.855569379745
2020-02-17,7442.7300871713405
2020-02-18,7362.035194793443
2020-02-19,7351.398180782745
2020-02-20,7306.624852723061
2020-02-21,7325.969977616024
2020-02-22,7300.42972073758
2020-02-23,7241.39811153146
2020-02-24,7239.989000114527
2020-02-25,7261.405593641048
2020-02-26,7264.731454760206
2020-02-27,7279.855049647195
2020-02-28,7248.138944963147
2020-02-29,7230.00188666379
2020-03-01,7196.378864274993
2020-03-02,7178.401206197966
2020-03-03,7137.743892095743
2020-03-04,7051.42976197916
2020-03-05,7060.301069091847
2020-03-06,7040.212022281434
2020-03-07,6958.7021049331315
2020-03-08,6981.841217709421
2020-03-09,6936.4762994902585
2020-03-10,6939.073569280065
2020-03-11,6975.528097388942
2020-03-12,6981.977242926812
2020-03-13,7038.947277153978
2020-03-14,6977.205986136295
2020-03-15,6997.323068195173
2020-03-16,6963.082563648157
2020-03-17,6919.542706189062
2020-03-18,6890.600222950842
2020-03-19,6875.022596344474
2020-03-20,6877.830863455961
2020-03-21,6819.573371416793
2020-03-22,6864.614695764502
2020-03-23,6887.897817751025
2020-03-24,6811.085633437164
2020-03-25,6885.498243126944
2020-03-26,6980.2927019284725
2020-03-27,7039.231680486456
2020-03-28,7030.235438695838
2020-03-29,6976.69780762031
2020-03-30,7029.420393966868
2020-03-31,7009.261546618209
2020-04-01,7070.38380013733
2020-04-02,7080.797549041173
2020-04-03,7129.629500865359
2020-04-04,7147.447820724079
2020-04-05,7182.776479133676
2020-04-06,7183.301480169717
2020-04-07,7272.595004865009
2020-04-08,7278.9406095001905
2020-04-09,7299.0400776724255
2020-04-10,7393.197612525238
2020-04-11,7325.809659468116
2020-04-12,7262.285409543829
2020-04-13,7310.75524495173
2020-04-14,7252.0990746960215
2020-04-15,7349.280133978486
2020-04-16,7328.599184940499
2020-04-17,7291.226444368461
2020-04-18,7387.37354569248
2020-04-19,7461.399285264201
2020-04-20,7554.777233285529
2020-04-21,7600.079466199299
2020-04-22,7557.018181946563
2020-04-23,7652.521429601516
2020-04-24,7639.121261053946
2020-04-25,7679.244080843766
2020-04-26,7726.606679232454
2020-04-27,7718.856174577912
2020-04-28,7749.560143095216
2020-04-29,7795.670476673542
2020-04-30,7814.491753231324
2020-05-01,7759.521713702114
2020-05-02,7774.433622412416
2020-05-03,7840.752917246768
2020-05-04,7806.0245242601995
2020-05-05,7798.5427972438165
2020-05-06,7776.785119657735
2020-05-07,7869.248306081701
2020-05-08,7902.863043932323
2020-05-09,7923.236135744379
2020-05-10,7884.740332022113
2020-05-11,7911.702791586704
2020-05-12,7877.986158553836
2020-05-13,7879.577686467553
2020-05-14,7847.785382548609
2020-05-15,7881.607047295934
2020-05-16,7910.43658812668
2020-05-17,7900.021650347781
2020-05-18,7919.821985980863
2020-05-19,7865.168910544338
2020-05-20,7790.606030909057
2020-05-21,7812.575615972284
2020-05-22,7820.909290740911
